name,address,city,state,zip,country,full_address,phone,time_hours,days,service_type,distance_miles,County,latitude,longitude
Humanity First USA,500 Bridge Street,Willingboro,NJ,8046,US,"500 Bridge Street, Willingboro, NJ, 08046, US",609-330-4578,11:00am - 2:00pm,Humanity First USA; 3rd Saturday,Pantry,24.9,Burlington County,40.004873,-74.869551
SVDP - St. Mary of the Lakes,1 Jones Road,Medford,NJ,8055,US,"1 Jones Road, Medford, NJ, 08055, US",609-953-0021,9:00am-11:30am,Wednesday and Saturday,Pantry,25.15,Burlington County,39.901607,-74.833044
Commissioned 2 Serve International Church,200 Sunset Road,Willingboro,NJ,8046,US,"200 Sunset Road, Willingboro, NJ, 08046, US",609-668-8809,Tuesday 11:00am - 3:00pm,Tuesday 11:00am - 3:00pm,,,Burlington County,40.0479543,-74.8889671
Delaware Valley Baptist Church,493 Beverly Rancocas Road,Willingboro,NJ,8046,US,"493 Beverly Rancocas Road, Willingboro, NJ, 08046, US",609-871-2121,9:00am - 1:00pm,3rd Tuesday,Pantry,,Burlington County,40.0173027,-74.8901373
Cathedral of Love,139 Beverly Rancocas Road,Willingboro,NJ,8046,US,"139 Beverly Rancocas Road, Willingboro, NJ, 08046, US",609-835-4141,6:00pm-8:00pm,2nd & 4th Monday,,,Burlington County,40.031996,-74.9127251
Jacob's Chapel AME Church,316 Elbo Lane,Mt. Laurel,NJ,8054,US,"316 Elbo Lane, Mt. Laurel, NJ, 08054, US",856-235-7900,Wednesday 3:00pm - 5:00pm,Wednesday 3:00pm - 5:00pm,Pantry,,Burlington County,39.9299201,-74.8860981
Wiley Church Food Pantry,99 East Main Street,Marlton,NJ,8009,US,"99 East Main Street, Marlton, NJ, 08009, US",856-983-0506,4:00pm-6:00pm,Every other Monday,Pantry,,Burlington County,39.8877768,-74.9112011
"City of Light Ministries, Inc.",615 Jackson Road,Atco,NJ,8004,US,"615 Jackson Road, Atco, NJ, 08004, US",856-768-0022,3rd Tuesday 10:00am - 3:00pm,3rd Tuesday 10:00am - 3:00pm,Pantry,,Camden County,39.7819165,-74.8940785
Hope UM Church,500 Centennial Boulevard,Voorhees,NJ,8043,US,"500 Centennial Boulevard, Voorhees, NJ, 08043, US",856-751-4673,12:15pm-2:15pm,"2nd, 4th & 5th Wednesday",Pantry,,Camden County,39.8570273,-74.9490653
Cultivate Church,2303 Evesham Road,Voorhees,NJ,8043,US,"2303 Evesham Road, Voorhees, NJ, 08043, US",856-429-6633,4:00pm-7:00pm,2nd and 4th Thursday,,,Camden County,39.8641916,-74.9610923
Green Grove Baptist Church,240 Cushman Avenue,Berlin,NJ,8091,US,"240 Cushman Avenue, Berlin, NJ, 08091, US",856-767-5423,1:00pm - 4:00pm,3rd Friday,Pantry,,Camden County,39.7951366,-74.9159921
Epworth UM Church-Bread of Life,501 Morgan Avenue,Palmyra,NJ,8065,US,"501 Morgan Avenue, Palmyra, NJ, 08065, US",856-829-1908,9:00am - 1:00pm,3rd Saturday,Pantry,,Burlington County,40.0060406,-75.0211836
Jewish Family & Children's Service of SNJ,6 East Miami Avenue,Cherry Hill,NJ,8034,US,"6 East Miami Avenue, Cherry Hill, NJ, 08034, US",856-424-1333,"Monday, Tuesday & Wednesday 8:30am - 4:00pm by appointment only","Monday, Tuesday & Wednesday 8:30am - 4:00pm by appointment only",Pantry,,Camden County,39.9181709,-75.0052595
First Baptist Church of Chesilhurst (Corner Cupboard),57 White Horse Pike,Chesilhurst,NJ,8089,US,"57 White Horse Pike, Chesilhurst, NJ, 08089, US",856-767-3283,1:00pm - 5:00pm,First Baptist Church of Chesilhurst (Corner Cupboard); 3rd Wednesday,Pantry,,Camden County,39.7317481,-74.866486
Cherry Hill SDA Church,700 Cooper Landing Road,Cherry Hill,NJ,8002,US,"700 Cooper Landing Road, Cherry Hill, NJ, 08002, US",856-667-7110,8:30am-12:30pm,2nd Wednesday,,,Camden County,39.93187,-75.011891
Evergreen Baptist Church,611 W. 3rd Street,Palmyra,NJ,8065,US,"611 W. 3rd Street, Palmyra, NJ, 08065, US",856-829-9429,4th Tuesday 9:00 AM-1:00 PM,611 W. 3rd Street; 4th Tuesday 9:00 AM-1:00 PM,Pantry,,Burlington County,40.0013224,-75.0323519
Bethel-Hosanna AME Church - Food Is Important Hope Mobile,3465 Haddonfield Rd,Pennsauken,NJ,8109,US,"3465 Haddonfield Rd, Pennsauken, NJ, 08109, US",609-969-7858,1st Wednesday 10:00am - 1:00pm,1st Wednesday 10:00am - 1:00pm,,,Camden County,39.9623959,-75.0248883
SVDP - St. Simon Stock,157 West White Horse Pike,Berlin,NJ,8009,US,"157 West White Horse Pike, Berlin, NJ, 08009, US",856-767-7391,11:00am-3:00pm,1st & 3rd Tuesday,,,Camden County,39.802588,-74.946945
Bethany Baptist Church,1115 Gibbsboro Road,Lindenwold,NJ,8021,US,"1115 Gibbsboro Road, Lindenwold, NJ, 08021, US",856-784-2220,9:00am-1:00pm,2nd Friday,Pantry,,Camden County,39.8260086,-74.97429
St. Matthew's UM Church,1665 Derousse Avenue,Delair,NJ,8110,US,"1665 Derousse Avenue, Delair, NJ, 08110, US",856-662-3610,11:30am - 2:00pm,3rd Tuesday,,,Camden County,39.971669,-75.0491421
Oaks Integrated Care- Berlin,128 Berlin-Cross Keys Road,Berlin,NJ,8009,US,"128 Berlin-Cross Keys Road, Berlin, NJ, 08009, US",856-210-1500,12:00pm-2:00pm,Monday-Wednesday and Friday,Pantry,,Camden County,39.7913848,-74.9402779
Living Proof Recovery Center-Center for Family Services,108 Somerdale Road,Voorhees,NJ,8043,US,"108 Somerdale Road, Voorhees, NJ, 08043, US",877-922-2377,12:00pm - 4:00pm,Wednesday and Thursday,Pantry,,Camden County,39.8512801,-75.0055324
Gates of Praise Church of God,6345 Wisteria Avenue,Pennsauken,NJ,8109,US,"6345 Wisteria Avenue, Pennsauken, NJ, 08109, US",856-213-9018,10:00am - 12:00pm,2nd Saturday,,,Camden County,39.9414094,-75.0533818
The WOW Center NJ,44 W. Chestnut Ave,Merchantville,NJ,8109,US,"44 W. Chestnut Ave, Merchantville, NJ, 08109, US",856-589-0444,Wednesdays 3:00pm to 7:00pm,,Pantry,,Camden County,39.951907,-75.05109
Trinity UM Church,36 West Maple Avenue,Merchantville,NJ,8109,US,"36 West Maple Avenue, Merchantville, NJ, 08109, US",856-665-1806,Distribution Hours 2nd Wednesday 10:00am-12:00pm; Sunday 12:00pm-; 12:30pm Regular Distribution Day Every Month 2nd Wednesday 10:00am-; 12:00pm; Sunday 12:00pm-12:30pm,Distribution Hours 2nd Wednesday 10:00am-12:00pm; Sunday 12:00pm-; 12:30pm Regular Distribution Day Every Month 2nd Wednesday 10:00am-; 12:00pm; Sunday 12:00pm-12:30pm,Pantry,,Camden County,39.949924,-75.052621
Cherry Hill Food & Outreach Pantry,910 Beechwood Avenue,Cherry Hill,NJ,8002,US,"910 Beechwood Avenue, Cherry Hill, NJ, 08002, US",856-910-9090,Tuesday 6:00pm-7:30pm; Wednesday 5:00pm-6:30pm; Thursday 11:00am-; 1:00pm,Tuesday-Thursday; Tuesday 6:00pm-7:30pm; Wednesday 5:00pm-6:30pm; Thursday 11:00am-,Pantry,,Camden County,39.9315552,-75.0475837
St. Mary's - Friends of Clementon,33 Berlin Road,Clementon,NJ,8021,US,"33 Berlin Road, Clementon, NJ, 08021, US",856-906-5649,5:00 PM - 7:00 PM,Wednesday,,,Camden County,39.8056077,-74.989757
The MVP Foundation,10 Kennedy Boulevard,Somerdale,NJ,8083,US,"10 Kennedy Boulevard, Somerdale, NJ, 08083, US",800-931-3371,10:30am-11:30am,Tuesday,Pantry,,Camden County,39.8466503,-75.0142506
Masjid Freehaven,280 Ashland Avenue,Lawnside,NJ,8045,US,"280 Ashland Avenue, Lawnside, NJ, 08045, US",856-546-1500,6:00pm - 7:30pm,2nd and 4th Wednesday,,,Camden County,39.8613403,-75.0245795
Commitment to Community Church,2 South Berlin Rd,Lindenwold,NJ,8021,US,"2 South Berlin Rd, Lindenwold, NJ, 08021, US",856-566-8500,Every Friday 4:00pm - 6:00pm,Every Friday 4:00pm - 6:00pm,,,Camden County,39.825202,-74.987491
"Mary, Queen of All Saints",4824 Camden Avenue,Pennsauken,NJ,8110,US,"4824 Camden Avenue, Pennsauken, NJ, 08110, US",856-662-2721,10:00am - 11:30am,Saturday,,,Camden County,39.9569584,-75.0651564
Lion of Judah Church,9 Odlen Avenue,Somerdale,NJ,8083,US,"9 Odlen Avenue, Somerdale, NJ, 08083, US",856-346-2636,8:00am-12:00pm,3rd Saturday,,,Camden County,39.8515997,-75.0246185
Park Avenue Community Church,431 North Hilltop Avenue,Somerdale,NJ,8083,US,"431 North Hilltop Avenue, Somerdale, NJ, 08083, US",856-435-0309,1:00pm-3:30pm,Thursday,Pantry,,Camden County,39.8482284,-75.0233526
Grace Temple Baptist Church,15 East Charleston Avenue,Lawnside,NJ,8045,US,"15 East Charleston Avenue, Lawnside, NJ, 08045, US",856-546-6130,12:00pm-4:00pm,2nd Sunday,,,Camden County,39.8647726,-75.0325637
Martin Luther Chapel,4100 Terrace Avenue,Pennsauken,NJ,8109,US,"4100 Terrace Avenue, Pennsauken, NJ, 08109, US",856-665-0116,9:00am-11:00am,2nd & 4th Wednesday,Pantry,,Camden County,39.944805,-75.068173
Urban Promise Ministries,3700 Rudderow Street,Pennsauken,NJ,8110,US,"3700 Rudderow Street, Pennsauken, NJ, 08110, US",856-661-1700,9:00am-11:00am,Saturday,,,Camden County,39.9486412,-75.0719173
The Redeemed Christian Church of God,4101 Marlton Pike,Pennsauken,NJ,8109,US,"4101 Marlton Pike, Pennsauken, NJ, 08109, US",609-456-7077,,,Pantry,,Camden County,39.9386539,-75.0787559
Hope Chapel,1006 Pine Street,Pine Hill,NJ,8021,US,"1006 Pine Street, Pine Hill, NJ, 08021, US",856-784-7999,5:30pm - 7:30pm,2nd & 4th Friday,,,Camden County,39.7827302,-74.9907775
"Congregation of Yahweh, Inc.",803 North 33rd Street,Camden,NJ,8105,US,"803 North 33rd Street, Camden, NJ, 08105, US",856-964-2960,6:00pm-8:00pm,2nd Wednesday,,,Camden County,39.9581183,-75.0831757
Asbury United Methodist Church,2926 Westfield Ave,Camden,NJ,8105,US,"2926 Westfield Ave, Camden, NJ, 08105, US",,First & Last Saturday 9:00 AM - 1:00 PM,First & Last Saturday 9:00 AM - 1:00 PM,,,Camden County,39.9479951,-75.0835286
Fellowship United Methodist - Haddon Heights,704 Garden Street,Haddon Heights,NJ,8035,US,"704 Garden Street, Haddon Heights, NJ, 08035, US",856-547-3300,Friday & Saturday 9:00am - 12:00pm,Friday & Saturday 9:00am - 12:00pm,Pantry,,Camden County,39.8797371,-75.0582265
St. Andrew Church,3050 River Road,Camden,NJ,8105,US,"3050 River Road, Camden, NJ, 08105, US",856-365-0111,10:00am - 1:00pm,2nd and 4th Wednesday,,,Camden County,39.9629226,-75.0804668
Spanish Pentecostal Church,130 North 27th Street,Camden,NJ,8105,US,"130 North 27th Street, Camden, NJ, 08105, US",856-963-6115,10:00am - 2:00pm,3rd Saturday,,,Camden County,39.9477428,-75.0874175
Grace Bible Church,887 Clements Bridge Road,Barrington,NJ,8007,US,"887 Clements Bridge Road, Barrington, NJ, 08007, US",856-546-4885,6:30pm - 8:30pm,1st and 4th Tuesday,Pantry,,Camden County,39.8616847,-75.0574849
SSJ Neighborhood Center,904 North 25th Street,Camden,NJ,8105,US,"904 North 25th Street, Camden, NJ, 08105, US",856-338-8220,12:00pm - 4:00pm,3rd Wednesday,,,Camden County,39.953959,-75.0941754
"Love Ministries Outreach International, Inc. Pantry",114 Boyd Street,Camden,NJ,8105,US,"114 Boyd Street, Camden, NJ, 08105, US",609-424-8350,Thursday & Saturday 10:00am - 12:00pm; 4th Monday 10:00am - 2:00pm,Thursday & Saturday 10:00am - 12:00pm; 4th Monday 10:00am - 2:00pm,,,Camden County,39.9435965,-75.0923641
Evangelistic Mennonite Church,1035 North 27th Street,Camden,NJ,8105,US,"1035 North 27th Street, Camden, NJ, 08105, US",856-377-1088,10:00am - 1:00pm,Last Friday,,,Camden County,39.9564808,-75.0947271
"Love Ministries Outreach International, Inc. - Hope Mobile",1900 Carman Street,Camden,NJ,8105,US,"1900 Carman Street, Camden, NJ, 08105, US",609-424-8350,Every Tuesday 10:00am - 12:00pm; 3rd Monday 10:00am - 2:00pm,Every Tuesday 10:00am - 12:00pm; 3rd Monday 10:00am - 2:00pm,,,Camden County,39.9434349,-75.0960808
Bethel House of God,431 West Nicholson Road,Audubon,NJ,8106,US,"431 West Nicholson Road, Audubon, NJ, 08106, US",856-546-5999,8:00am-12:00pm,3rd Saturday,Pantry,,Camden County,39.8932525,-75.0816786
New Life Community Development Corp,1721 Haddon Avenue,Camden,NJ,8103,US,"1721 Haddon Avenue, Camden, NJ, 08103, US",856-541-5433,3rd Friday 1:00pm - 2:30pm; 4th Wednesday 10:30am - 2:00pm,3rd Friday and 4th Wednesday; 3rd Friday 1:00pm - 2:30pm; 4th Wednesday 10:30am - 2:00pm,,,Camden County,39.9244185,-75.0927973
KROC Center - The Salvation Army,1865 Harrison Avenue,Camden,NJ,8105,US,"1865 Harrison Avenue, Camden, NJ, 08105, US",856-379-4871,Monday 9:00am - 11:30am; 1:00pm - 3:45pm; Wednesday 8:30am - 11:30am; 1:00pm - 3:45pm; Friday 8:30am - 11:30am; 1:00pm - 2:45pm,Monday 9:00am - 11:30am; 1:00pm - 3:45pm; Wednesday 8:30am - 11:30am; 1:00pm - 3:45pm; Friday 8:30am - 11:30am; 1:00pm - 2:45pm,,,Camden County,39.9521357,-75.1039065
Cathedral Kitchen,1514 Federal Street,Camden,NJ,8105,US,"1514 Federal Street, Camden, NJ, 08105, US",856-964-6771,Monday - Saturday 3:00pm - 5:00pm,Monday - Saturday 3:00pm - 5:00pm,,,Camden County,39.9439606,-75.102269
Parkside UM Church,1420 Kaighn Avenue,Camden,NJ,8103,US,"1420 Kaighn Avenue, Camden, NJ, 08103, US",856-964-2254,2nd and 4th Sunday 12:00pm-2:00pm,2nd and 4th Sunday 12:00pm-2:00pm,,,Camden County,39.9335728,-75.0834919
Word of Life Outreach Center Inc.,201 Cooper Ave,Woodlynne,NJ,8107,US,"201 Cooper Ave, Woodlynne, NJ, 08107, US",856-408-3743,2nd & 4th Saturday 9:00 AM-12:00 PM,2nd & 4th Saturday 9:00 AM-12:00 PM,Pantry,,Camden County,39.91735,-75.095693
Little Rock Baptist Church,1210 Kenwood Avenue,Camden,NJ,8109,US,"1210 Kenwood Avenue, Camden, NJ, 08109, US",856-757-0440,11:00am-3:00pm,4th Wednesday,,,Camden County,39.9335873,-75.1020633
Safe Passage CTC,1300 Thurman Street,Camden,NJ,8104,US,"1300 Thurman Street, Camden, NJ, 08104, US",856-963-4279,Thursday 10:00am-12:00pm,Thursday 10:00am-12:00pm,,,Camden County,39.9271121,-75.1014755
"Hope Community Outreach Services, Inc.",1299 Morton Street,Camden,NJ,8104,US,"1299 Morton Street, Camden, NJ, 08104, US",609-932-4600,11:00am - 2:00pm,1st & 2nd Friday and 3rd Tuesday,Pantry,,Camden County,39.926638,-75.101751
"Masjidun-Nur, Inc.",1234 Mechanic Street,Camden,NJ,8104,US,"1234 Mechanic Street, Camden, NJ, 08104, US",856-622-1115,11:00am - 3:00pm,3rd Saturday,,,Camden County,39.9304766,-75.1035888
Mt. Calvary Baptist Church,1198 Penn Street,Camden,NJ,8102,US,"1198 Penn Street, Camden, NJ, 08102, US",856-488-0695 ext. 22,11:30am - 2:00pm,Tuesday and Friday,,,Camden County,39.9458215,-75.1091107
Kingdom Harvest International,1529 Mt. Ephraim Avenue,Camden,NJ,8104,US,"1529 Mt. Ephraim Avenue, Camden, NJ, 08104, US",856-246-1222,12:00pm - 2:00pm,Sunday,Pantry,,Camden County,39.9266799,-75.1063654
Camden Bible Tabernacle,823 Elm St.,Camden,NJ,8102,US,"823 Elm St., Camden, NJ, 08102, US",856-541-8008,Distribution 2nd Thursday 10:00am - 2:00pm,Distribution 2nd Thursday 10:00am - 2:00pm,Pantry,,Camden County,39.9500855,-75.1138749
Chews United Methodist Church,319 Black Horse Pike,Glendora,NJ,8029,US,"319 Black Horse Pike, Glendora, NJ, 08029, US",856-939-1007,9:30am-1:30pm,3rd Saturday,Pantry,,Camden County,39.8404635,-75.0694847
Pentecostal Church of Celestial Fire,1476 South 8th Street,Camden,NJ,8104,US,"1476 South 8th Street, Camden, NJ, 08104, US",856-580-0791,9:00am - 1:00pm,3rd Saturday,,,Camden County,39.9280551,-75.1120962
Better Tomorrows – Camden,1800 South 9th St,Camden,NJ,8104,US,"1800 South 9th St, Camden , NJ, 08104, US",856-334-9611,2nd Wednesday 10:00 AM-2:00 PM *4thTuesday in November ONLY -,2nd Wednesday 10:00 AM-2:00 PM *4thTuesday in November ONLY -,,,Camden County,39.921955,-75.110439
New Wesley Community Development,701 Spruce Street,Camden,NJ,8104,US,"701 Spruce Street, Camden, NJ, 08104, US",856-541-0300,Distribution Hours: 3rd Thursday 9:00am - 1:00pm Regular Distribution Day,Distribution Hours: 3rd Thursday 9:00am - 1:00pm Regular Distribution Day; Every Month 3rd Thursday,,,Camden County,39.93542,-75.115821
Faith Tabernacle Church,553 Spruce St.,Camden,NJ,8103,US,"553 Spruce St., Camden, NJ, 08103, US",856-541-9847,"Sunday, Wednesday, Friday 9:00 AM-1:00 PM","Sunday, Wednesday, Friday 9:00 AM-1:00 PM",,,Camden County,39.9353718,-75.1185779
St. Paul's Episcopal Church,422 Market Street,Camden,NJ,8102,US,"422 Market Street, Camden, NJ, 08102, US",856-745-3971,7:30am - 11:30am,4th Sunday,,,Camden County,39.945503,-75.1218475
"St. John's Church of Turnersville, Inc.",525 Royden Street,Camden,NJ,8103,US,"525 Royden Street, Camden, NJ, 08103, US",856-227-6567,11:00am - 3:30pm,Sunday,Soup Kitchen,,Camden County,39.937965,-75.120333
Antioch Baptist Church,700 Ferry Avenue,Camden,NJ,8104,US,"700 Ferry Avenue, Camden, NJ, 08104, US",856-966-1765,9:00am-1:00pm,3rd Tuesday,Pantry,,Camden County,39.9206629,-75.1137844
Shalom Baptist Church,1036 Broadway,Camden,NJ,8103,US,"1036 Broadway, Camden, NJ, 08103, US",856-541-9666,2:00pm - 6:00pm,2nd Thursday,,,Camden County,39.9325194,-75.1190951
"Fountain of Life Church, Inc.",403 Stevens Street,Camden,NJ,8103,US,"403 Stevens Street, Camden, NJ, 08103, US",856-397-7524,8:00am-12:00pm,3rd Wednesday,,,Camden County,39.9418631,-75.1229665
Mighty Writers,1801 Broadway,Camden,NJ,8104,US,"1801 Broadway, Camden, NJ, 08104, US",,Monday-Thursday 11:30 AM-1:00 PM,Monday-Thursday 11:30 AM-1:00 PM,,,Camden County,39.9099911,-75.1181067
Church of the Sacred Heart,1739 Ferry Avenue,Camden,NJ,8104,US,"1739 Ferry Avenue, Camden, NJ, 08104, US",856-966-6700,7:30am - 11:30am,4th Saturday,,,Camden County,39.922928,-75.1207865
"Neighborhood Center, Inc.",278 Kaighn Avenue,Camden,NJ,8103,US,"278 Kaighn Avenue, Camden, NJ, 08103, US",856-365-5295,12:00pm-1:00pm,Monday-Friday,,,Camden County,39.9335728,-75.0834919
Family of Faith,1735 Winslow Road,Williamstown,NJ,8094,US,"1735 Winslow Road, Williamstown, NJ, 08094, US",856-361-6599,"Distribution 1st & 3rd Saturday 11:30 AM–1:30 PM; *Open Saturday, November 22, from 11:00 AM to 3:00 PM","Distribution 1st & 3rd Saturday 11:30 AM–1:30 PM; *Open Saturday, November 22, from 11:00 AM to 3:00 PM",,,Gloucester County,39.6758672,-74.9534858
Potters House Assembly of God,301 Monmouth Street,Gloucester City,NJ,8030,US,"301 Monmouth Street, Gloucester City, NJ, 08030, US",856-379-0478,9:00am-1:00pm,3rd Tuesday,,,Camden County,39.898048,-75.123566
Laurelwood SDA Church,3051 Good Intent Road,Deptford,NJ,8096,US,"3051 Good Intent Road, Deptford, NJ, 08096, US",856-232-3366,12:00pm - 1:30pm,1st & 3rd Saturday,,,Gloucester County,39.8049115,-75.078321
Apostles Lutheran Church,4401 Black Horse Pike,Turnersville,NJ,8012,US,"4401 Black Horse Pike, Turnersville, NJ, 08012, US",856-629-4228,1:00pm-3:00pm,2nd and 4th Thursday,,,Gloucester County,39.7764812,-75.0523919
Macedonia Baptist Church,351 High Street,Westville,NJ,8093,US,"351 High Street, Westville, NJ, 08093, US",856-456-4347,12:30pm - 2:30pm,3rd Sunday,,,Gloucester County,39.8676841,-75.1267223
Spring of Hope Ministry,31 Poplar Street,Williamstown,NJ,8094,US,"31 Poplar Street, Williamstown, NJ, 08094, US",856-885-4242,9:00am - 1:00pm,3rd Saturday,,,Gloucester County,39.6851307,-74.9929665
Straight Line Church,207 3rd Avenue,Westville,NJ,8093,US,"207 3rd Avenue, Westville, NJ, 08093, US",856-456-4588,9:00am-1:00pm,207 3rd Avenue; 2nd Saturday,Pantry,40.43,Gloucester County,39.8723736,-75.1295078
First Presbyterian Church of Williamstown,430 S. Main St,Williamstown,NJ,8094,US,"430 S. Main St, Williamstown, NJ, 08094, US",856-629-4634,2nd Wednesday & 4th Saturday 10:00 AM - 12:00 PM,First Presbyterian Church of Williamstown; 2nd Wednesday & 4th Saturday 10:00 AM - 12:00 PM,,,Gloucester County,39.682352,-74.9903231
